tahun,kota_kota,kelurahan,jenis_kelamin,jumlah
2017,Jakarta Barat,Tanjung Duren Selatan,Perempuan,3134
2017,Jakarta Barat,Jelambar Baru,Perempuan,5140
2017,Jakarta Barat,Wijaya Kusuma,Perempuan,5484
2017,Jakarta Barat,Taman Sari,Perempuan,1859
2017,Jakarta Barat,Krukut,Perempuan,2718
2017,Jakarta Barat,Maphar,Perempuan,2110
2017,Jakarta Barat,Tangki,Perempuan,1728
2017,Jakarta Barat,Mangga Besar,Perempuan,953
2017,Jakarta Barat,Keagungan,Perempuan,2388
2017,Jakarta Barat,Glodok,Perempuan,755
2017,Jakarta Barat,Pinangsia,Perempuan,1433
2017,Jakarta Barat,Tambora,Perempuan,1525
2017,Jakarta Barat,Kali Anyar,Perempuan,3886
2017,Jakarta Barat,Duri Utara,Perempuan,3028
2017,Jakarta Barat,Tanah Sereal,Perempuan,3673
2017,Jakarta Barat,Kerendang,Perempuan,3095
2017,Jakarta Barat,Jembatan Besi,Perempuan,4756
2017,Jakarta Barat,Angke,Perempuan,4460
2017,Jakarta Barat,Jembatan Lima,Perempuan,3052
2017,Jakarta Barat,Pekojan,Perempuan,3077
2017,Jakarta Barat,Roa Malaka,Perempuan,360
2017,Jakarta Barat,Duri Selatan,Perempuan,2012
2017,Jakarta Barat,Kebon Jeruk,Perempuan,7768
2017,Jakarta Barat,Sukabumi Utara,Perempuan,6006
2017,Jakarta Barat,Sukabumi Selatan,Perempuan,5957
2017,Jakarta Barat,Kelapa Dua,Perempuan,3604
2017,Jakarta Barat,Duri Kepa,Perempuan,8150
2017,Jakarta Barat,Kedoya Utara,Perempuan,6272
2017,Jakarta Barat,Kedoya Selatan,Perempuan,4601
2017,Jakarta Barat,Kalideres,Perempuan,10953
2017,Jakarta Barat,Semanan,Perempuan,11622
2017,Jakarta Barat,Tegal Alur,Perempuan,13490
2017,Jakarta Barat,Kamal,Perempuan,8810
2017,Jakarta Barat,Pegadungan,Perempuan,11381
2017,Jakarta Barat,Palmerah,Perempuan,9441
2017,Jakarta Barat,Slipi,Perempuan,2358
2017,Jakarta Barat,Kota Bambu Utara,Perempuan,4095
2017,Jakarta Barat,Jati Pulo,Perempuan,4461
2017,Jakarta Barat,Kemanggisan,Perempuan,4695
2017,Jakarta Barat,Kota Bambu Selatan,Perempuan,3412
2017,Jakarta Barat,Kembangan Utara,Perempuan,8608
2017,Jakarta Barat,Meruya Utara,Perempuan,6332
2017,Jakarta Barat,Meruya Selatan,Perempuan,5008
2017,Jakarta Barat,Srengseng,Perempuan,6946
2017,Jakarta Barat,Joglo,Perempuan,6350
2017,Jakarta Barat,Kembangan Selatan,Perempuan,3753
2017,Jakarta Selatan,Tebet Timur,Perempuan,2673
2017,Jakarta Selatan,Tebet Barat,Perempuan,3119
2017,Jakarta Selatan,Menteng Dalam,Perempuan,6003
2017,Jakarta Selatan,Kebon Baru,Perempuan,5885
2017,Jakarta Selatan,Bukit Duri,Perempuan,5680
2017,Jakarta Selatan,Manggarai Selatan,Perempuan,3744
2017,Jakarta Selatan,Manggarai,Perempuan,4779
2017,Jakarta Selatan,Setia Budi,Perempuan,443
2017,Jakarta Selatan,Karet Semanggi,Perempuan,360
2017,Jakarta Selatan,Karet Kuningan,Perempuan,2447
2017,Jakarta Selatan,Karet,Perempuan,1428
2017,Jakarta Selatan,Menteng Atas,Perempuan,4492
2017,Jakarta Selatan,Pasar Manggis,Perempuan,4507
2017,Jakarta Selatan,Guntur,Perempuan,514
2017,Jakarta Selatan,Kuningan Timur,Perempuan,925
2017,Jakarta Selatan,Mampang Prapatan,Perempuan,3142
2017,Jakarta Selatan,Bangka,Perempuan,3474
2017,Jakarta Selatan,Pela Mampang,Perempuan,7000
2017,Jakarta Selatan,Tegal Parang,Perempuan,5462
2017,Jakarta Selatan,Kuningan Barat,Perempuan,2126
2017,Jakarta Selatan,Pasar Minggu,Perempuan,3763
2017,Jakarta Selatan,Jati Padang,Perempuan,6007
2017,Jakarta Selatan,Cilandak Timur,Perempuan,4017
2017,Jakarta Selatan,Ragunan,Perempuan,6067
2017,Jakarta Selatan,Pejaten Timur,Perempuan,9778
2017,Jakarta Selatan,Pejaten Barat,Perempuan,5799
2017,Jakarta Selatan,Kebagusan,Perempuan,7404
2017,Jakarta Selatan,Kebayoran Lama Utara,Perempuan,6799
2017,Jakarta Selatan,Pondok Pinang,Perempuan,8490
2017,Jakarta Selatan,Cipulir,Perempuan,6531
2017,Jakarta Selatan,Grogol Utara,Perempuan,6778
2017,Jakarta Selatan,Grogol Selatan,Perempuan,7007
2017,Jakarta Selatan,Kebayoran Lama Selatan,Perempuan,6389
2017,Jakarta Selatan,Cilandak Barat,Perempuan,7775
2017,Jakarta Selatan,Lebak Bulus,Perempuan,5612
2017,Jakarta Selatan,Pondok Labu,Perempuan,7429
2017,Jakarta Selatan,Gandaria Selatan,Perempuan,3401
2017,Jakarta Selatan,Cipete Selatan,Perempuan,4172
2017,Jakarta Selatan,Melawai,Perempuan,321
2017,Jakarta Selatan,Gunung,Perempuan,1316
2017,Jakarta Selatan,Kramat Pela,Perempuan,2131
2017,Jakarta Selatan,Selong,Perempuan,336
2017,Jakarta Selatan,Rawa Barat,Perempuan,675
2017,Jakarta Selatan,Senayan,Perempuan,439
2017,Jakarta Selatan,Pulo,Perempuan,794
2017,Jakarta Selatan,Petogogan,Perempuan,1748
2017,Jakarta Selatan,Gandaria Utara,Perempuan,6063
2017,Jakarta Selatan,Cipete Utara,Perempuan,5664
2017,Jakarta Selatan,Pancoran,Perempuan,3200
2017,Jakarta Selatan,Kalibata,Perempuan,6889
2017,Jakarta Selatan,Rawa Jati,Perempuan,2886
2017,Jakarta Selatan,Duren Tiga,Perempuan,4256
2017,Jakarta Selatan,Pengadegan,Perempuan,3326
2017,Jakarta Selatan,Cikoko,Perempuan,1708
2017,Jakarta Selatan,Jagakarsa,Perempuan,10002
2017,Jakarta Selatan,Srengseng Sawah,Perempuan,9394
2017,Jakarta Selatan,Ciganjur,Perempuan,6093
2017,Jakarta Selatan,Lenteng Agung,Perempuan,8823
2017,Jakarta Selatan,Tanjung Barat,Perempuan,6568
2017,Jakarta Selatan,Cipedak,Perempuan,6249
