"kode","propinsi","tahun","kelamin","jumlah"
"63","Kalimantan Selatan","2015","L","2022"
"63","Kalimantan Selatan","2015","P","1967.8"
"63","Kalimantan Selatan","2020","L","2184.7"
"63","Kalimantan Selatan","2020","P","2119.3"
"63","Kalimantan Selatan","2025","L","2325.5"
"63","Kalimantan Selatan","2025","P","2252.8"
"63","Kalimantan Selatan","2030","L","2445.5"
"63","Kalimantan Selatan","2030","P","2368.7"
"63","Kalimantan Selatan","2035","L","2547.5"
"63","Kalimantan Selatan","2035","P","2468.8"
"64","Kalimantan Timur","2010","L","1880.5"
"64","Kalimantan Timur","2010","P","1695.6"
"64","Kalimantan Timur","2015","L","2138.1"
"64","Kalimantan Timur","2015","P","1930.5"
"64","Kalimantan Timur","2020","L","2395.4"
"64","Kalimantan Timur","2020","P","2166.3"
"64","Kalimantan Timur","2025","L","2644"
"64","Kalimantan Timur","2025","P","2396.7"
"64","Kalimantan Timur","2030","L","2879.3"
"64","Kalimantan Timur","2030","P","2617.7"
"64","Kalimantan Timur","2035","L","3100.5"
"64","Kalimantan Timur","2035","P","2828.7"
"71","Sulawesi Utara","2010","L","1161.5"
"71","Sulawesi Utara","2010","P","1116.2"
"71","Sulawesi Utara","2015","L","1230.8"
"71","Sulawesi Utara","2015","P","1181.3"
"71","Sulawesi Utara","2020","L","1289.7"
"71","Sulawesi Utara","2020","P","1239.1"
"71","Sulawesi Utara","2025","L","1336.7"
"71","Sulawesi Utara","2025","P","1287.6"
"71","Sulawesi Utara","2030","L","1370.8"
"71","Sulawesi Utara","2030","P","1325.3"
"71","Sulawesi Utara","2035","L","1392.2"
"71","Sulawesi Utara","2035","P","1351.5"
"72","Sulawesi Tengah","2010","L","1354"
"72","Sulawesi Tengah","2010","P","1292"
"72","Sulawesi Tengah","2015","L","1469.6"
"72","Sulawesi Tengah","2015","P","1407.1"
"72","Sulawesi Tengah","2020","L","1579.7"
"72","Sulawesi Tengah","2020","P","1517.3"
"72","Sulawesi Tengah","2025","L","1680"
"72","Sulawesi Tengah","2025","P","1619.5"
"72","Sulawesi Tengah","2030","L","1769"
"72","Sulawesi Tengah","2030","P","1711.6"
"72","Sulawesi Tengah","2035","L","1847"
"72","Sulawesi Tengah","2035","P","1793.8"
"73","Sulawesi Selatan","2010","L","3929.4"
"73","Sulawesi Selatan","2010","P","4131"
"73","Sulawesi Selatan","2015","L","4161"
"73","Sulawesi Selatan","2015","P","4359.3"
"73","Sulawesi Selatan","2020","L","4364.6"
"73","Sulawesi Selatan","2020","P","4563.4"
"73","Sulawesi Selatan","2025","L","4531.3"
"73","Sulawesi Selatan","2025","P","4734.2"
"73","Sulawesi Selatan","2030","L","4655.9"
"73","Sulawesi Selatan","2030","P","4865.8"
"73","Sulawesi Selatan","2035","L","4738.9"
"73","Sulawesi Selatan","2035","P","4957.1"
"74","Sulawesi Tenggara","2010","L","1125.3"
"74","Sulawesi Tenggara","2010","P","1118.3"
"74","Sulawesi Tenggara","2015","L","1256"
"74","Sulawesi Tenggara","2015","P","1243.5"
"74","Sulawesi Tenggara","2020","L","1386.6"
"74","Sulawesi Tenggara","2020","P","1369"
"74","Sulawesi Tenggara","2025","L","1512.3"
"74","Sulawesi Tenggara","2025","P","1490.7"
"74","Sulawesi Tenggara","2030","L","1631.2"
"74","Sulawesi Tenggara","2030","P","1606.5"
"74","Sulawesi Tenggara","2035","L","1742.4"
"74","Sulawesi Tenggara","2035","P","1715.7"
"75","Gorontalo","2010","L","523.2"
"75","Gorontalo","2010","P","521.6"
"75","Gorontalo","2015","L","567.7"
"75","Gorontalo","2015","P","565.5"
"75","Gorontalo","2020","L","610.9"
"75","Gorontalo","2020","P","608.7"
"75","Gorontalo","2025","L","650.7"
"75","Gorontalo","2025","P","649"
"75","Gorontalo","2030","L","685.5"
"75","Gorontalo","2030","P","684.7"
"75","Gorontalo","2035","L","714.7"
"75","Gorontalo","2035","P","715.4"
"76","Sulawesi Barat","2010","L","583.4"
"76","Sulawesi Barat","2010","P","581.2"
"76","Sulawesi Barat","2015","L","643.2"
"76","Sulawesi Barat","2015","P","639"
"76","Sulawesi Barat","2020","L","705.3"
"76","Sulawesi Barat","2020","P","699.7"
"76","Sulawesi Barat","2025","L","767.4"
"76","Sulawesi Barat","2025","P","760.4"
"76","Sulawesi Barat","2030","L","827.6"
"76","Sulawesi Barat","2030","P","819.6"
"76","Sulawesi Barat","2035","L","886.1"
"76","Sulawesi Barat","2035","P","877.2"
"81","Maluku","2010","L","778.3"
"81","Maluku","2010","P","763.6"
"81","Maluku","2015","L","850.7"
"81","Maluku","2015","P","835.8"
"81","Maluku","2020","L","923.2"
"81","Maluku","2020","P","908.7"
"81","Maluku","2025","L","993.2"
"81","Maluku","2025","P","979.5"
"81","Maluku","2030","L","1058.4"
"81","Maluku","2030","P","1045.8"
"81","Maluku","2035","L","1119.6"
"81","Maluku","2035","P","1108.2"
"82","Maluku Utara","2010","L","533.1"
"82","Maluku Utara","2010","P","510.2"
"82","Maluku Utara","2015","L","593.2"
"82","Maluku Utara","2015","P","569.1"
"82","Maluku Utara","2020","L","651.8"
"82","Maluku Utara","2020","P","627"
"82","Maluku Utara","2025","L","707.9"
"82","Maluku Utara","2025","P","683.1"
"82","Maluku Utara","2030","L","761.8"
"82","Maluku Utara","2030","P","737.6"
"82","Maluku Utara","2035","L","813.5"
"82","Maluku Utara","2035","P","790.1"
"91","Papua Barat","2010","L","404.3"
"91","Papua Barat","2010","P","361"
"91","Papua Barat","2015","L","459.3"
"91","Papua Barat","2015","P","412.2"
"91","Papua Barat","2020","L","516.2"
"91","Papua Barat","2020","P","465.6"
"91","Papua Barat","2025","L","573"
"91","Papua Barat","2025","P","519.2"
"91","Papua Barat","2030","L","628.3"
"91","Papua Barat","2030","P","571.8"
"91","Papua Barat","2035","L","681.8"
"91","Papua Barat","2035","P","623.2"
"94","Papua","2010","L","1515.6"
"94","Papua","2010","P","1341.4"
"94","Papua","2015","L","1661.2"
"94","Papua","2015","P","1488.2"
"94","Papua","2020","L","1802.2"
"94","Papua","2020","P","1633.2"
"94","Papua","2025","L","1931.4"
"94","Papua","2025","P","1770.3"
"94","Papua","2030","L","2044.3"
"94","Papua","2030","P","1895.1"
"94","Papua","2035","L","2139.1"
"94","Papua","2035","P","2005.5"
